;;
    3                                             ;                                         6        ;    3                                             
       1                                          ;    3                                             ;    3                                             
                                                  ;    3                                             ;    3                                             
    33  3     8   99      87       95 35          ;    33    9        6  57 1   3 6         8 3   3  ;    33    9        6  57 1   3 6         8 3   3  
    33    9        6  7 1   3 6     0     3   3  7;    33 2  9 9         77 1   3  46           3   9;    33    9        6  7 1   3 6     0     3   3  7
    33 2  9         71   3  46            3   93  ;    332    7        7 4 1   3  6  6     7       3 ;    332    7        7 4 1   3  6  6     7       3 
    332    7        7  1   3  6       7      3  3 ;    332 9       7     9     5  3   2     92  0    ;    332 9       7     9     5  3   2     92  0    
    33 9       7     9     5  3   2     92  0     ;    33 9    5    60 1     9    5  3        9  0   ;    33 9       7     9     5  3   2     92  0     
    33 9    5   60 1         5  3        9  0     ;    33 9    5         9  9  5  3        9  0      ;    33 9    5   60 1         5  3        9  0     
    33 9    5         9  9  5  3        9  0  8   ;    3323        0   8     3  2   99  9  0  6      ;    33 9    5         9  9  5  3        9  0  8   
    3323           8     3  4   99  9  0 6 0      ;    3323   0        8     3     99   9  0       0 ;    3323           8     3  4   99  9  0 6 0      
    3322 3           8     3     99   9  0        ;    332           8     3   0  99  9  0           ;    332           8     3   0  99  9  0           
    332           8     3   0  99  9  0           ;    33    9        6  57 1   3 6         8 3   3  ;    332           8     3   0  99  9  0           
    33    9         6  57 1   3 6         8 3   3 ;    33    9        6  71   3 6     0     3   3  7 ;    33    9         6  57 1   3 6         8 3   3 
    33    9        6  7 1   3 6     0     3   3  7;    332    7        7 4 1   3  6  6      7       3;    332    7        7 4 1   3  6  6      7       3
    332    7        7 4 1   3  6  6     7 8      3;    332 9       7     9      5  3   2     92  0   ;    332 9       7     9      5  3   2     92  0   
    332 9        7     9    5  3   2     92  0    ;    33 9       7     9     5  3        92  0      ;    33 9       7     9     5  3        92  0      
    33 9    0   7     9     5  3   2     92  0    ;    33 9     5   60 1        0 5  3   9     9  0  ;    33 9    0   7     9     5  3   2     92  0    
     33 9    5   60 1       9  5  3        9  0   ;   33 9    5         9  9  5  3    8 8   9  0  8  ;     33 9    5   60 1       9  5  3        9  0   
  3  3 9   5 5         9  9  5  3        9  0  8  ;    83323 3          8     3  4   99  9  0 6 0    ;  3  3 9   5 5         9  9  5  3        9  0  8  
    3323           58     3  4  99  9  0 64 0     ;    332           8     3    0  99  9  0          ;    332           8     3    0  99  9  0          
    3321  1         8     3   0   99  9  0        ;    332          8    3   0  99  9  0             ;    332          8    3   0  99  9  0             
    3323            8     3   0  99  9  0         ;    33   9         6  57 11   3 6         8 3   3 ;    3323            8     3   0  99  9  0         
    333    9        6  57 1   3 6         8 3    3;    332    7         7 4 1   3  6  6      7       ;    332    7         7 4 1   3  6  6      7       
    332    7        7 24 1   3  6  6      7       ;    332 9     7  7     9      5  3   2      92  0 ;    332    7        7 24 1   3  6  6      7       
    332 9  6    7     99      5  3   2     92  0  ;    33 9      3 7     9     5  3         92  0    ;    33 9      3 7     9     5  3         92  0    
    33 9       7     9     05  3        92  0    9;    3 9    0   7      9     5  43   2     92  0   ;    33 9       7     9     05  3        92  0    9
    33 9    0   7     91     5  3   2     92  0   ;     330 9    5   60 1       9  05  3        9  0 ;     330 9    5   60 1       9  05  3        9  0 
  2   33 9    5   60 11       9  5  3        9  0 ;  3  3 9    5 5         9  9  5  3        9  0  8 ;  3  3 9    5 5         9  9  5  3        9  0  8 
  3  3 9   5 5         9  59  5  3        9  0  8 ;    332           8     3    05  99  9  0         ;    332           8     3    05  99  9  0         
    332           8     3    0  99  9  0       9  ;    332          8    3   0  99  9  0           9 ;    332          8    3   0  99  9  0           9 
    332          8    3   0  99  9  0             ;    3323           9 8     3   0  99  9  0        ;    332          8    3   0  99  9  0             
    33323            8     43   0  99  9  0       ;    332    7         7 4 1   3  69        7       ;    332    7         7 4 1   3  69        7       
    332    7         7  4 1   3  6  6       7   3 ;    332    7        7 24 1   3  6  6       7      ;    332    7         7  4 1   3  6  6       7   3 
    332    7        7 4 1    3  6  6      7       ;    33 9     3 7     9     5  3         92  0     ;    33 9     3 7     9     5  3         92  0     
    33 9      3 7     9     5  3         92  10   ;    33 9       7     9     05  3        92  00    ;    33 9      3 7     9     5  3         92  10   
     33 9       7     9 6   05  3        92  0    ;     330 9    5   60 1       9  05  3        9  0 ;     330 9    5   60 1       9  05  3        9  0 
     330 9    5    60 1       9  05  3    2    9  ;  3  3 9    5 5    1     9  99  5  3        9  0  ;     330 9    5    60 1       9  05  3    2    9  
  3  3 9   5 5        9  9  5  3        9  0  8   ;    332           8     30    05  99   9  0       ;  3  3 9   5 5        9  9  5  3        9  0  8   
    332           8     3    05  99  9  0      9  ;    332          8    3   0  99 8 9  0           9;    332          8    3   0  99 8 9  0           9
    332          8    3   0 99  9  0            9 ;    332          8    3   0  99  9  0             ;    332          8    3   0 99  9  0            9 
    332          8    3   0  99   9  0            ;    332    7          17 4 1   3  69        7     ;    332          8    3   0  99   9  0            
    332    7         7 4 1   3  69       7    3   ;   8 332    7          7  4 1   3  6  6       7   ;    332    7         7 4 1   3  69       7    3   
    332    74         7  4 1    3  6  6       7 9 ;    33 9     38 7     9     5  3         92  0    ;    33 9     38 7     9     5  3         92  0    
    33 9     3 72     9     5  3          92  0   ;    33 9      3 7     9     5  3    3     92  10  ;    33 9     3 72     9     5  3          92  0   
    33 9      3 7    9     5  3         92  10    ;     330 9    5   60 1       9  05  35        9  0;    33 9      3 7    9     5  3         92  10    
     330 9    5    60 81       9  05  3        9  ;     330 9    5    60 1       9  05  3    2    9  ;     330 9    5    60 1       9  05  3    2    9  
     330 9    5    60 1       9  05  3    2    9  ; 3 3  3 9   5 5        9 9  5  3        9  0  8   ;     330 9    5    60 1       9  05  3    2    9  
  3  3 9   5 5        9  9  5  3        9   0  8  ;    332          8    3   0  99 8 9  0          9 ;  3  3 9   5 5        9  9  5  3        9   0  8  
    332           8   1 3   0  99 8 9  0  8       ;   332          8    3    0 99  9  0             9;   332          8    3    0 99  9  0             9
    332           8    3   0 99  9  90            ;    3332          8    3   0  99   9  0           ;    332           8    3   0 99  9  90            
    332          8    3   0  99   9  0            ;    332    7         7 4 1   3  69     3 7    3   ;    332          8    3   0  99   9  0            
    332    7          7 4 1   3  69       7    3  ;    33 9     38 7      9     5  3         92  0   ;    33 9     38 7      9     5  3         92  0   
    33 9     38 7     9     5  3         92  0    ;    33 9     3 72     9     5   3         92  0   ;    33 9     3 72     9     5   3         92  0   
     33 9     3 72     9     5  3          92  0  ;    33 9      3 7    9     5  3       9  92  10   ;     33 9     3 72     9     5  3          92  0  
    339      3 7     9     5  3         92  10    ;     330 9   5    60 1       9  05  3    2   9    ;    339      3 7     9     5  3         92  10    
     330     5    60 1      7 9  055  3    2    9 ;     330 9    5   6 60 1       9  05  3    2    9 ;     330 9    5   6 60 1       9  05  3    2    9 
     330 9    5    60 1        9   05  3    2    9;2  3  3 9   5 5        9  9  5  3      3  9   0 8 ;     330 9    5    60 1        9   05  3    2    9
4  3  43 9   5 5        9  9 5  3        9   0  8 ;   332          8    3    0 99  9   0             ;   332          8    3    0 99  9   0             
   332          8    3    0 99  9  0            9 ;     332         0  8    3   0 99  9  90          ;   332          8    3    0 99  9  0            9 
    33           8   3   0 99  9  90              ;     332          8   23   0  99   9  0           ;    33           8   3   0 99  9  90              
    332         8    3   0  99   9  0             ;     33 9     38 7      97     5  3         192  0;    332         8    3   0  99   9  0             
    33 9 7    38 7      9      5  3         92  0 ;    833 9      3 72     9     5   3         92  0 ;    833 9      3 72     9     5   3         92  0 
    833 9     3 72     9     5   3         92  0  ;     33 9 7    3 72     9     5  3          92  0 ;    833 9     3 72     9     5   3         92  0  
     33 9     13 72     9     5  3          92  0 ;    339      3 7     9     5  3  7       92  10   ;    339      3 7     9     5  3  7       92  10   
    339      3 7     9     55  3         92 5 10  ;     330 9    5   6 60 1 8      9  05  3    2    9;    339      3 7     9     55  3         92 5 10  
