;;2   66
2031 5  83  8666            8    3  0  6  2  0    ;22   66  52 7 4 7  6         2       00           ;2031 5  83  8666            8    3  0  6  2  0    
2   66  52 7 4 7   6         2       00           ;2   66  52 7 4 7  6  2 4             0          91;2   66  52 7 4 7  6  2 4             0          91
2   66  52 7 4  7  6  2              0          9 ;2   66  52 7 4 7  6   2             0         9   ;2   66  52 7 4 7  6   2             0         9   
2   66  52 7 4 7  6  2             0          9   ;2 31    6266      0     0     959       6 0 02    ;2   66  52 7 4 7  6  2             0          9   
2 31    6626      0      0     959      6 0 02    ;2230195   8626    2         388    3 9  7 86  2   ;2 31    6626      0      0     959      6 0 02    
23019 5   8626  7  2         388    3 90   8  2   ;273015   56   62866    2    4       8   3     6 3 ;273015   56   62866    2    4       8   3     6 3 
27301  56   62866    2    4       8   3    7 6 3 2;27301  56 0 6866   2  1        8    3     6 3 2   ;27301  56   62866    2    4       8   3    7 6 3 2
2301  56 0  6866   2  1        8    3     6 3 2   ;27301  5   66866   2  1     1   8    3    6 3 2   ;2301  56 0  6866   2  1        8    3     6 3 2   
27301  56   66866   2  1     1   6 8   3     6 3 2;2301  56   866   2         6   9  3     6  2      ;2301  56   866   2         6   9  3     6  2      
2301  56   866   2         6   9  3       2       ;2031 5  83  8666      4      8    3  0  6  2  0   ;2301  56   866   2         6   9  3       2       
20331 5  83  8666            8   3  00  6  2  0   ;2   66  52 7 4 7  6  2 4            0          91 ;20331 5  83  8666            8   3  00  6  2  0   
2   66  522 7 4 7  6  2 4       8      0          ;2   66  52 7 4 7  6   2             0         9   ;2   66  522 7 4 7  6  2 4       8      0          
2   66  52 7 4 7  6   2             0        9    ;2   66  52 7 4 7  6  2        2     0           9 ;2   66  52 7 4 7  6   2             0        9    
2   66  52 7 4 7  6  2            0 0         9   ;2 31    6626      0     0    959     6 0 02       ;2 31    6626      0     0    959     6 0 02       
2 31    6626      0      0     959      6 0 02    ;273015 3  56   62866    2    4   4    8   3     6 ;273015 3  56   62866    2    4   4    8   3     6 
273015   56   62866    2    4       8   3     6 33;27 301  56   62866    2    4       8   3    7 6 33;273015   56   62866    2    4       8   3     6 33
27301  56   62866    2    4       8   3    7 6 3 2;2301  56 0  6866   2  1        8    3     6 3 2   ;27301  56   62866    2    4       8   3    7 6 3 2
23201  56 0  6866   2  1        8    3     6 3 2  ;2301  56   866   2         6   9  3     6  2      ;2301  56   866   2         6   9  3     6  2      
2301  56   866   2         6   9  3     6         ;24301  56   866   2         6   9  3     2   2    ;2301  56   866   2         6   9  3     6         
2301  56   866 1  2         6   49 3       2      ;203131 5  83  8666   6         8   3  00  6  2  0 ;2301  56   866 1  2         6   49 3       2      
20331 5  83  8666            8   3  00  6   2  0  ;2   66  522 7 4 7  6  2 4       8      0     8    ;20331 5  83  8666            8   3  00  6   2  0  
2   66  522 7 4 7  6  2 4        8      0         ;2   66  52 7 4 7  6   2             0        9    ;2   66  52 7 4 7  6   2             0        9    
2   66  52 7 4 7  6   2             0        9    ;2 31    66256      0     0    959     6 0 02      ;2   66  52 7 4 7  6   2             0        9    
2 310    6626     2 0     0    959     63 0 02    ;27015 3  56   62866    2    4   4    8   3     6  ;27015 3  56   62866    2    4   4    8   3     6  
273015 3  56   62866 1   2    4   4     8   3     ;273015   56   6286    2    4      8   3     6 33  ;273015 3  56   62866 1   2    4   4     8   3     
273015   56   682866    2    4        8   3     6 ;27301  56   628663 8    2    4       8   3    7 6 ;27301  56   628663 8    2    4       8   3    7 6 
27301  56   62866    2    4       88   3    7 6 3 ;2301  56   866 9  2         6   9  3     6  2     ;27301  56   62866    2    4       88   3    7 6 3 
2301  56   866  2         6   9  3     6   2  1   ;2301  56   866   2         6   9 3     6          ;2301  56   866   2         6   9 3     6          
2301  56   866   2         6   9  3     6         ;2301  56   866 1  2         6   49 3       2      ;2301  56   866   2         6   9  3     6         
2301  56   866 1           6   49 03       2      ;203315  83  86666            8   3  00  6   2  0  ;2301  56   866 1           6   49 03       2      
2031 5  83  8666            8    3  00  6   2  0  ;2   66  52 7 4 7  6   2             0        9    ;2   66  52 7 4 7  6   2             0        9    
2   66 2 52 7 4 7  6  5 2             0        9  ;2   66  52 7 4 7  6   2             0        9    ;2   66 2 52 7 4 7  6  5 2             0        9  
2  4 66  52 47 4 7  6   2            0        9   ;27015 3  56   62866    2    4   4    8   3     6  ;27015 3  56   62866    2    4   4    8   3     6  
27015 13  56   628696    2    4   4    8   3     6;273015 3  56   62866 1   2    4   4     8   3     ;27015 13  56   628696    2    4   4    8   3     6
273015 3  56   62866 1   2    4   4  9   8   3    ;27301  56   628663 8    2    4       8    3    7 6;27301  56   628663 8    2    4       8    3    7 6
27301   56   628663 8    2    4       8   3    7 6;27301  56   62866    2   4       88   3    7 6 3  ;27301  56   62866    2   4       88   3    7 6 3  
27301  56   62866    2    4       88   3    775 6 ;2301  56 1  866   2         6   9 3     6         ;27301  56   62866    2    4       88   3    775 6 
82301  56   866   2         6   9 3     68        ;2301  56   866   2      6   6   9  3     6        ;2301  56   866   2      6   6   9  3     6        
62301  56   866   2         6   9  3     6        ;2301  56   866 1           6   49 03 6      2     ;2301  56   866 1           6   49 03 6      2     
23301  56   866 1           6   49 03       2     ;2   66  52 7 4 7  6   2             0        9    ;23301  56   866 1           6   49 03       2     
2   66  52 7 4 7  6  2             0        9     ;2   66 2 52 7 4 7  6   2             0        9   ;2   66  52 7 4 7  6  2             0        9     
2   66 2 52 97 4 7  6  5 2             0        9 ;27015 3  56   62866    2    4    4    8   3    6  ;27015 3  56   62866    2    4    4    8   3    6  
27015 3  56    62866    2    4   4    8   3     6 ;27015 13  56   9628696    2    4   4    8   3     ;27015 13  56   9628696    2    4   4    8   3     
27015 13  56   628696    2    4   4    8   3      ;275301  56   6286663 8    2    4       8    3    7;27015 13  56   628696    2    4   4    8   3      
27301  56   628663 8    2    4      8    3    7 6 ;27301 56   62866    2 6  4       88   3    7 6 3  ;27301  56   628663 8    2    4      8    3    7 6 
27301  56   6866    2   4        88   3    7 6 3  ;27301  5   62866    2    4       88   3    775 6  ;27301  5   62866    2    4       88   3    775 6  
27301  56   62866    2    4     6  88   3    775 6;2301  56   866  2      6   6   9  3    6       1  ;27301  56   62866    2    4     6  88   3    775 6
2301  56   866   2      6   6   9   34      6     ;2301  56   866 1          6   49 03 6      2      ;2301  56   866   2      6   6   9   34      6     
230 1  56   866 15           6   49 03 6      2   ;23301  56   866 61           6   49 03       2    ;230 1  56   866 15           6   49 03 6      2   
23301  5   866 41           6   49 03       2     ;2    66  52 7 4 7  6  2             0        9    ;23301  5   866 41           6   49 03       2     
2   66  52 7 4 7  6  2             0        91    ;27015 3  56   62866   9 2    4    4  0  8   3    6;27015 3  56   62866   9 2    4    4  0  8   3    6
27015 3  56  62866    2    4    4    8   3    6   ;27015 13  56   9628696    2    4   4    8   3     ;27015 13  56   9628696    2    4   4    8   3     
27015 13   56   9628696    2    4   4    8   3    ;27015 13  56   628696    2    4   4    8   3      ;27015 13   56   9628696    2    4   4    8   3    
27015 133  56   628696    2    4   4    8   3     ;27301  56   628663 8    2    4   7   8        7 6 ;27015 133  56   628696    2    4   4    8   3     
273701  56   628663 8    2    4      8    3    7 6;27301  5   62866    2    4       88   3    775 6  ;27301  5   62866    2    4       88   3    775 6  
27301  5   562866    2    4       88   3    775 6 ;27301  56   62866    2    4     6  88   3    775 6;27301  5   562866    2    4       88   3    775 6 
273001  56   62866    2    4     6  88   3    775 ;2301  56   866   2      6   6   9   34      6     ;273001  56   62866    2    4     6  88   3    775 
2301  56    866   2      6   6   9   34      6    ;230 1  756   866 15           6   49 03 6       2 ;230 1  756   866 15           6   49 03 6       2 
230 1  56   8606 15           6   49 03 66      2 ;23301 5   866 41           46    49 03       2    ;230 1  56   8606 15           6   49 03 66      2 
23301  5   866 41           6   49 03       2     ;27015 3  6   62866   9 2    4    4  0  8   3    6 ;23301  5   866 41           6   49 03       2     
27015  3  56   62866   9 2  1  4    4  0  8   3   ;27015 13  56   69628696    2    4   4    8  3     ;27015 13  56   69628696    2    4   4    8  3     
27015 13  56   96286696    2    4   4    8   3    ;27015 13   56   9628696    2    4   4    8   3    ;27015 13   56   9628696    2    4   4    8   3    
127015  13   56   9628696   2    4   4    8   3   ;2015 133  56   62896   2    4   4    8   3        ;127015  13   56   9628696   2    4   4    8   3   
27015 133  56   628696    2     49   4    8   3   ;27301  5   628646    2    4       88   3    775 6 ;27015 133  56   628696    2     49   4    8   3   
27301  5   62866    2    4       88   3    775    ;27301  5   562866    2    4       88   3    775 6 ;27301  5   62866    2    4       88   3    775    
27301  5   562866    2    4       88   3    775 6 ;273001  56   62866   2    4     6  88   3 8   775 ;273001  56   62866   2    4     6  88   3 8   775 
273001  56   62866    2    4     6  88   3     775;230 1   756   866 15           6   49 03 6       2;273001  56   62866    2    4     6  88   3     775
230 1  7563   866 151           6   49 03 6       ;230 1  56   8606 15           6   49 03 66      2 ;230 1  56   8606 15           6   49 03 66      2 
230 1  56   8606 1265           6   49 03 66      ;23301  5  9 866 41           6   491 03       2   ;23301  5  9 866 41           6   491 03       2   
23301  5   8661 41            6   49 03       2   ;27015 123   56   69628696    2    4   4     8  3  ;27015 123   56   69628696    2    4   4     8  3  
2701 5 13  56  2 69628696    2   4   4    8  3    ;27015 133   56   9628696    2   4   4    8   3    ;27015 133   56   9628696    2   4   4    8   3    
27015 13   56   9628696    2    4   45     8   3  ;127015  13   56   9628696   2    4   4    8   3   ;27015 13   56   9628696    2    4   45     8   3  
27015  13   56   9628696   2    4   4    8   3    ;227015 133  56   628696        49   4    8   3    ;27015  13   56   9628696   2    4   4    8   3    
27015 133  56   628696    2     49   4   8   3    ;27301  5   62866     2    47       88   3    775  ;27015 133  56   628696    2     49   4   8   3    
27301  5   62866        4      88   3    775      ;273001  56    62866   2    4     6  88   3 8   775;273001  56    62866   2    4     6  88   3 8   775
2730 01  56   62866   2    4     6  88   3 8   775;273001  56   62866    2    4     6  88   3  5   77;2730 01  56   62866   2    4     6  88   3 8   775
273001  56  62866    2    4     6  88   3     77 5;230 1  56   8606 15           6   49 03 66      2 ;273001  56  62866    2    4     6  88   3     77 5
230 1  56   8606 15            6   49 03 166      ;23301  5  9 866 41           6   491 03      2    ;230 1  56   8606 15            6   49 03 166      
23301  5  9 866 41           6  491 03       2    ;27015 123   56   69628696    2    4   4     8  3  ;27015 123   56   69628696    2    4   4     8  3  
27015 123   6   69628696    2    4    4     8  3  ;27015 133   56    962869 6    2   4  1 4    8   3 ;27015 123   6   69628696    2    4    4     8  3  
