;;    4
5 80 268000 040 6 5   4 4 8528342   444;5 80 2648000 04 6 5   4  85283462 6  444;5 80 268000 040 6 5   4 4 8528342   444
5 80 26 48000 04 6 5   4  8528342 6  444;055  8 022648000 04 26 5   4   528327   44 4;5 80 26 48000 04 6 5   4  8528342 6  444
055 8 02648000 04 26 5 6 4  528327   44 4; 880000244883 555224256874 7 84;055 8 02648000 04 26 5 6 4  528327   44 4
88000024488853 555224256874 7 84;8880000 244883 55522256874 7 84;8880000 244883 55522256874 7 84
8800000 244883 5552227568747 7 84;880022040 27283 5224396874 7 8844;880022040 27283 5224396874 7 8844
8800220407 27283 522396874 7 8844;8022060 4703883 5325225623270 77 788 4;8800220407 27283 522396874 7 8844
88022060 4703883 53528255623270 77 7884;8022060 403883 535282562 270  7878 4;8022060 403883 535282562 270  7878 4
8022060 470383 5435282562 2707 78758 4;5 840240 0004 669  37 65  444;5 840240 0004 669  37 65  444
5 840240 0004 6669  37 625  3444;5  8024 0 90004 669  937 5   444;5  8024 0 90004 669  937 5   444
25 8024 0  900044 6690  37 5  444;5 80 268000 040 65 5   4 4 8528342   444;5 80 268000 040 65 5   4 4 8528342   444
5 80 268000 040 6 5   4 4 8528342   44;5 80 26 48000 04 6 5   4  8528342 6  444;5 80 268000 040 6 5   4 4 8528342   44
5 80 26 4800 04  5   4  8528342 64  444;055 8 02648000 04 26 5 6 4  5837   44 4;055 8 02648000 04 26 5 6 4  5837   44 4
055 8 02648000  04 26 5 6 4  528327   44 4;88880000 244883 55952256874 7 84;88880000 244883 55952256874 7 84
8880000 244883 55522256 87654 7 84;880022040 27283 52243496874 7 8844;880022040 27283 52243496874 7 8844
80022040 27283 5224396874 7 8844;88800229407 27283 522396874 7 8844;80022040 27283 5224396874 7 8844
8800220407 272843  5223968874 7 8844;800220605 403883 535282562 270  7878  4;800220605 403883 535282562 270  7878  4
802200 403883 5352825262 270  7878 4;5 84002240 0004 669   37 65  444;802200 403883 5352825262 270  7878 4
5 8402840 0004 669  37 625   444;5  8024 0 90004 669  937 5 4   444;5  8024 0 90004 669  937 5 4   444
5  8024 0 90004669  937 5   444;5 80 268000 040 65 5   4 4 85283425   444;5  8024 0 90004669  937 5   444
5 80 268000 040 65 5    4 4 8528342   444;5 80 268000 040 6 5   4 4 8528342   44;5 80 268000 040 6 5   4 4 8528342   44
5 80 26000 040 6 5   4 4 8528342   4;055 8 02648000 304 26 5 6 4  5837   44  4;055 8 02648000 304 26 5 6 4  5837   44  4
055 8 0648000 04 26 5 6 4  5837   44 4;888800500 244883 55952256874 7 84;888800500 244883 55952256874 7 84
888080000 244883 55952256874 7 84;880022040 27283 522434956874 7  88844;888080000 244883 55952256874 7 84
880022040 27283 5224349684 7 8844;80022040 27283 52243596874 7 8844;880022040 27283 5224349684 7 8844
8002040 27283 5224396 874  7 8844;800220605 403883 535282562 270  7878  4;8002040 27283 5224396 874  7 8844
800220605 403883 5355282562 270  787  4;802200 4403883 5352825262 2760  7878 4;800220605 403883 5355282562 270  787  4
802200 4038 835 5352825262 270  7878 4;5  8024 0 90004 669   937 5 4   444;802200 4038 835 5352825262 270  7878 4
 5 8024 0 90004 6699  937 5 4   444;5  8024 0 0004669  93 5 4  444; 5 8024 0 90004 6699  937 5 4   444
5  8024 0 0004669  937 5   444;95 880 268000 040 6 5   4 4 8528342   44;5  8024 0 0004669  937 5   444
5 80 268000 040 6 5   4 4 8528342  44;055 8 0264800 304 26 5 6 74   5 837   44  4;5 80 268000 040 6 5   4 4 8528342  44
055 8 02648000 304 26 5 65 4  5837   44  ;8888200500 244883 55952256874 7 84;8888200500 244883 55952256874 7 84
888800500 244883 559522568774 7 84;8880800000 2444883 5595225687 4 7 84;8880800000 2444883 5595225687 4 7 84
8880800500 244883 55952256874 7 84;8800220440 27283 52524349684 7 8844;8880800500 244883 55952256874 7 84
8800222040 27283 522434 9684 7 844;8002040 27283 522423996 874   7 8844;8002040 27283 522423996 874   7 8844
8002040 27283 5224396 874  7 8844;800220605 4038883 5355282562  270 787  4;800220605 4038883 5355282562  270 787  4
800220605 403883  5355282562 270  787  4;802200 4038 8305 53528252662 270  7878 4;802200 4038 8305 53528252662 270  7878 4
8022200 4038 835 5352825262 270  7878 4;  5 8024 0 90004 6699  937 5 4   444;8022200 4038 835 5352825262 270  7878 4
 95 8024 0 90004 6699  937 5 4 8  444;58  80024 0 00046269  937 57   444;58  80024 0 00046269  937 57   444
5  80324 0 0004669  9937 5  444;5 80 268000 0040 6 55   4 4 8528342  44;5 80 268000 0040 6 55   4 4 8528342  44
55 80 268000 0400 6 5   4 4 8528342  44;8888200500 2442883 55952256874 7 84;8888200500 2442883 55952256874 7 84
8888200500 2448883 8559522256874 7 84;8880800000 2444883 85595225687 4 77 84;8880800000 2444883 85595225687 4 77 84
8880800000 2444883 5595225687 4 7 84;88880800500  2448 83 55952256874 7 584;8880800000 2444883 5595225687 4 7 84
8880800500 2442883 559522568746 7 84;80020400 27283 52242234996 874   7 8844;8880800500 2442883 559522568746 7 84
80002040 27283 5224923996 874   7 8844;80022 0605 4038883 535552825962  270 787  4;80002040 27283 5224923996 874   7 8844
800220605 4038883 5355282562  270 787  4;8022000 4038 8305 53528252662 270  778678 4;8022000 4038 8305 53528252662 270  778678 4
802200 4038 83 05 5352825266 2 270  7878  4;80292200 4038 835 5352825262 270  7878 4;80292200 4038 835 5352825262 270  7878 4
8022200  4038  835 5352825262 270  7878 4;58  80024 0 000646269  937 57  5 444;8022200  4038  835 5352825262 270  7878 4
